"filename", "language", "Shell Script", "C#", "Markdown", "JSON", "Ignore", "HTML", "PlantUML", "JSON with Comments", "TypeScript", "JavaScript", "XML", "comment", "blank", "total"
"/home/ayanami/HKSScript/Frontend/vscode-hksscript/src/api-types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 7, 101
"/home/ayanami/HKSScript/Frontend/vscode-hksscript/src/extension.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 191, 0, 0, 2, 29, 222
"/home/ayanami/HKSScript/Frontend/vscode-hksscript/src/parser/HksScriptLexer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 2, 13, 166
"/home/ayanami/HKSScript/Frontend/vscode-hksscript/src/parser/HksScriptParser.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1248, 0, 2, 256, 1506
"/home/ayanami/HKSScript/Frontend/vscode-hksscript/syntaxes/hksscript.tmLanguage.json", "JSON", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"/home/ayanami/HKSScript/Frontend/vscode-hksscript/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"/home/ayanami/HKSScript/HKSScript.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 4, 21
"/home/ayanami/HKSScript/README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/ayanami/HKSScript/Shared/Hir/HirRunner.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/ayanami/HKSScript/Shared/Hir/HirType.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"/home/ayanami/HKSScript/Shared/Hir/Nodes/Assign.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/home/ayanami/HKSScript/Shared/Hir/Nodes/Branch.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/home/ayanami/HKSScript/Shared/Hir/Nodes/Call.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/ayanami/HKSScript/Shared/Hir/Nodes/HirBasicNode.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/ayanami/HKSScript/Shared/Hir/Nodes/Import.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/home/ayanami/HKSScript/Shared/Hir/Nodes/New.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/home/ayanami/HKSScript/Shared/Hir/Nodes/Return.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/home/ayanami/HKSScript/Tests/test-regenerate-grammar.sh", "Shell Script", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 55
"/home/ayanami/HKSScript/regenerate-grammar.sh", "Shell Script", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"Total", "-", 59, 4505, 1033, 238, 4, 969, 18, 18, 285, 3201, 17, 1522, 1256, 13125
